gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
3.88,3.29,0.847938144,1.179331307,3.62184466,0.118766104,0.014105387,0.930027891,0.8232965,0.479210017,4,1,1,5,1
3.98,3.78,0.949748744,1.052910053,3.917820513,0.054881631,0.003011993,3.542570033,0.950501,8.880390715,1,1,3,5,2
4.27,3.98,0.932084309,1.072864322,4.201451613,0.064929893,0.004215891,0.905499592,0.8234305,0.307659685,1,1,5,1,2
4.86,0,0,0,4.382941176,0.319663091,0.102184492,0.8026999,0.852022,0.421316296,5,1,2,5,3
6.62,2.02,0.305135952,3.277227723,4.518045113,1.167032275,1.361964331,0.982861913,0.810898,0.695877514,1,4,1,1,0
10.63,4.37,0.411100659,2.432494279,7.160909091,2.093504113,4.382759473,0.918400968,0.8234145,0.611180011,1,5,1,4,1
13.17,6.62,0.502657555,1.989425982,8.234516129,2.221624302,4.935614537,0.920940799,0.8645515,0.294434272,4,1,1,4,3
10.33,6.91,0.66892546,1.494934877,7.860864198,0.933328985,0.871102994,0.928403851,0.868311,0.257357232,1,2,1,1,2
13.46,10.14,0.753343239,1.327416174,12.6627451,0.708500045,0.501972314,0.869702122,0.753722,0.332850923,1,4,1,1,3
4.57,3.78,0.827133479,1.208994709,4.108378378,0.214552387,0.046032727,2.109510521,1.577193,1.910298245,1,1,2,1,0
5.35,4.86,0.908411215,1.100823045,5.023571429,0.090003575,0.008100644,2.406636175,1.703938,2.193645195,1,1,4,1,1
5.44,4.86,0.893382353,1.119341564,5.047857143,0.091989312,0.008462033,2.023387738,1.621917,1.833677697,3,1,1,4,1
5.05,5.44,1.077227723,0.928308824,5.191756757,0.071679616,0.005137967,0.830490369,0.8076335,0.348139253,1,1,1,4,2
5.74,5.25,0.914634146,1.093333333,5.376933333,0.115182648,0.013267043,0.922318693,0.766103,0.486819363,1,2,3,1,3
1.05,0,0,0,0.006774194,0.08433803,0.007112903,0.861940287,0.8071135,0.372624077,1,1,1,5,0
0,0,0,0,0,0,0,0.761843112,0.798544,0.323994097,1,1,1,1,2
0,0,0,0,0,0,0,0.763611577,0.8111,0.237660176,1,1,5,1,1
0,0,0,0,0,0,0,0.798646762,0.8645385,0.249654655,1,4,1,2,2
0,0,0,0,0,0,0,0.847836,0.7699875,0.46422776,1,1,1,2,3
4.96,3.78,0.762096774,1.312169312,4.65225,0.227918836,0.051946996,0.731922496,0.782262,0.353630268,1,1,2,4,0
6.62,5.15,0.777945619,1.285436893,6.10619469,0.412863084,0.170455926,0.734343173,0.778459,0.278807035,1,1,4,2,1
7.11,5.84,0.82137834,1.217465753,6.156486486,0.203930101,0.041587486,0.7414495,0.745756,0.227440745,4,1,1,1,3
7.5,6.42,0.856,1.168224299,6.804666667,0.251865115,0.063436036,0.684476649,0.7823665,0.306485356,1,5,1,2,2
6.72,5.54,0.824404762,1.21299639,6.06503937,0.312277537,0.09751726,0.724011889,0.810973,0.292138605,4,5,1,1,3
9.45,4.66,0.493121693,2.027896996,6.398089888,1.324806244,1.755111585,0.782449563,0.8110385,0.298380383,5,1,1,1,0
12.68,4.17,0.328864353,3.040767386,7.497272727,2.854144146,8.146138805,0.804772121,0.88038,0.325958953,2,3,1,2,1
14.83,8.57,0.57788267,1.730455076,10.60238318,1.563510683,2.444565655,0.784332709,0.852293,0.309268103,2,5,1,2,0
15.12,9.75,0.64484127,1.550769231,11.74652695,1.205925095,1.454255335,0.753630537,0.837756,0.291634226,5,1,1,5,2
18.74,14.63,0.780683031,1.280929597,16.41734375,1.081744978,1.170172197,0.790742763,0.880519,0.308397657,1,1,3,1,3
13.26,9.06,0.683257919,1.463576159,10.12144068,0.823790774,0.67863124,0.731236076,0.858254,0.311577708,5,1,1,2,0
16.59,9.84,0.593128391,1.68597561,12.06697183,1.648717528,2.718269489,0.75979719,0.864336,0.295040018,1,1,1,5,1
17.08,9.75,0.570843091,1.751794872,12.99387597,1.302305834,1.696000484,0.771069863,0.880521,0.283045691,1,5,1,1,1
18.25,11.6,0.635616438,1.573275862,13.92365169,1.577513466,2.488548737,0.784975031,0.8233535,0.389532198,1,2,1,5,2
18.54,9.65,0.520496224,1.921243523,12.26589286,1.826769333,3.337086195,0.963137719,0.8110235,0.636003152,1,1,5,1,3
1.63,1.34,0.82208589,1.21641791,1.483649635,0.056175616,0.0031557,0.8026999,0.852022,0.421316296,5,1,1,5,0
1.44,1.34,0.930555556,1.074626866,1.340970874,0.009853293,0.9705,0.982861913,0.810898,0.695877514,1,5,1,3,2
1.44,1.24,0.861111111,1.161290323,1.351049724,0.033157918,0.001099448,0.918400968,0.8234145,0.611180011,2,4,1,4,1
1.44,1.34,0.930555556,1.074626866,1.422432432,0.038183617,0.001457989,0.873040134,0.835911,0.616045685,5,1,1,4,2
1.53,1.34,0.875816993,1.141791045,1.444693878,0.028170375,0.00079357,1.068451656,0.8583975,0.693700765,1,5,1,3,3
5.05,3.2,0.633663366,1.578125,4.079036145,0.390179801,0.152240277,1.306944271,0.831579,1.154172531,1,5,1,3,0
5.44,4.17,0.766544118,1.304556355,4.689055118,0.216562001,0.0468991,1.162293573,0.851706,0.757723615,4,1,1,5,2
5.74,4.37,0.761324042,1.313501144,5.016481481,0.290296903,0.084272292,1.114544933,0.8644875,0.761097484,1,1,4,1,1
5.35,4.27,0.798130841,1.2529274,4.59872549,0.224392123,0.050351825,0.853811058,0.753604,0.878116376,5,1,1,4,2
6.03,3.59,0.595356551,1.679665738,4.456363636,0.58431359,0.341422372,1.130417975,0.76617,1.034590307,1,1,1,5,3
4.08,2.71,0.664215686,1.505535055,3.38064,0.312187247,0.097460877,1.336552827,0.823492,1.209979561,1,5,1,2,0
4.17,3.1,0.743405276,1.34516129,3.5164,0.210458026,0.044292581,1.367593506,0.810988,1.257022108,1,1,1,4,3
4.08,2.71,0.664215686,1.505535055,3.179489796,0.388946164,0.151279118,0.930781503,0.769875,0.979169198,1,2,1,2,1
4.96,3,0.60483871,1.653333333,3.557857143,0.382910684,0.146620592,0.931945676,0.7394175,1.166707859,1,1,5,1,2
4.66,3,0.643776824,1.553333333,3.586392694,0.422728415,0.178699313,1.156536442,0.8233865,0.907463075,1,4,1,4,3
1.93,1.53,0.792746114,1.261437908,1.752727273,0.089093559,0.007937662,0.906697712,0.8171885,0.270301777,3,1,1,4,0
2.02,1.83,0.905940594,1.103825137,1.88019802,0.054980416,0.003022846,0.865414592,0.7949235,0.282494876,1,1,1,5,1
2.41,1.83,0.7593361,1.316939891,2.146778523,0.197293404,0.038924687,0.856870394,0.766111,0.296153742,1,1,5,1,0
2.32,2.22,0.956896552,1.045045045,2.26,0.049441323,0.002444444,0.994922938,0.8008025,0.377040351,4,1,1,4,2
2.32,2.12,0.913793103,1.094339623,2.197124183,0.060149739,0.003617991,0.92840307,0.7824005,0.478111636,1,5,1,1,3
2.9,2.61,0.9,1.111111111,2.767454545,0.07488802,0.005608215,0.959123239,0.852086,0.328912299,1,5,1,5,0
2.71,1.83,0.675276753,1.480874317,2.158035714,0.238171863,0.056725837,0.920940799,0.8645515,0.294434272,5,1,1,5,1
2.71,1.83,0.675276753,1.480874317,2.158035714,0.238171863,0.056725837,0.928403851,0.868311,0.257357232,1,5,1,5,1
3.2,2.41,0.753125,1.32780083,2.87988764,0.163314354,0.026671578,0.869702122,0.753722,0.332850923,1,4,1,1,2
3.69,2.51,0.680216802,1.470119522,2.856686747,0.205415731,0.042195622,2.109510521,1.577193,1.910298245,1,1,2,1,3
6.13,5.64,0.920065253,1.086879433,5.853932584,0.11600958,0.013458223,2.406636175,1.703938,2.193645195,1,1,4,1,0
6.03,5.44,0.902155887,1.108455882,5.665714286,0.126516772,0.016006494,2.023387738,1.621917,1.833677697,3,1,1,4,1
5.64,4.96,0.879432624,1.137096774,5.229044586,0.157018631,0.024654851,0.830490369,0.8076335,0.348139253,1,1,1,4,2
5.84,5.05,0.864726027,1.156435644,5.28675,0.127741615,0.01631792,0.922318693,0.766103,0.486819363,1,2,3,1,2
5.84,5.05,0.864726027,1.156435644,5.319727891,0.16456229,0.027080747,0.861940287,0.8071135,0.372624077,1,1,1,5,3
1.34,1.24,0.925373134,1.080645161,1.243787879,0.019163033,0.000367222,0.761843112,0.798544,0.323994097,1,1,1,1,0
1.53,1.24,0.810457516,1.233870968,1.3676,0.060987165,0.003719434,0.763611577,0.8111,0.237660176,1,1,5,1,1
1.63,1.24,0.760736196,1.314516129,1.324514563,0.081555053,0.006651227,0.798646762,0.8645385,0.249654655,1,4,1,2,3
1.34,1.34,1,1,1.34,2.23E-15,4.99E-30,0.847836,0.7699875,0.46422776,1,1,1,2,2
1.63,1.34,0.82208589,1.21641791,1.394580153,0.077024068,0.005932707,0.731922496,0.782262,0.353630268,1,1,2,4,3
9.45,5.25,0.555555556,1.8,7.001190476,1.103424203,1.217544971,0.734343173,0.778459,0.278807035,1,1,4,2,0
6.13,4.17,0.680261011,1.470023981,4.98015625,0.47868655,0.229140813,0.7414495,0.745756,0.227440745,4,1,1,1,1
14.83,4.27,0.287929872,3.473067916,9.179405204,2.070453935,4.286779496,0.684476649,0.7823665,0.306485356,1,5,1,2,1
14.34,9.75,0.679916318,1.470769231,11.318125,1.047337596,1.09691604,0.724011889,0.810973,0.292138605,4,5,1,1,2
18.25,9.75,0.534246575,1.871794872,12.67773381,1.601766029,2.565654413,0.782449563,0.8110385,0.298380383,5,1,1,1,3
4.76,3.1,0.651260504,1.535483871,3.844100719,0.480102364,0.23049828,0.804772121,0.88038,0.325958953,2,3,1,2,0
5.05,3.1,0.613861386,1.629032258,4.37992,0.495766751,0.245784671,0.784332709,0.852293,0.309268103,2,5,1,2,1
5.84,4.27,0.731164384,1.367681499,4.859120879,0.318279728,0.101301985,0.753630537,0.837756,0.291634226,5,1,1,5,3
5.74,4.57,0.796167247,1.256017505,4.905686275,0.235748271,0.055577247,0.790742763,0.880519,0.308397657,1,1,3,1,2
6.42,5.15,0.802180685,1.246601942,5.488265306,0.290848539,0.084592873,0.731236076,0.858254,0.311577708,5,1,1,2,3
1.93,1.53,0.792746114,1.261437908,1.684166667,0.08782702,0.007713585,0.75979719,0.864336,0.295040018,1,1,1,5,0
2.41,1.63,0.676348548,1.478527607,2.02627907,0.201618722,0.040650109,0.771069863,0.880521,0.283045691,1,5,1,1,1
2.22,1.73,0.779279279,1.283236994,1.905841584,0.126785388,0.016074535,0.784975031,0.8233535,0.389532198,1,2,1,5,2
2.41,1.83,0.7593361,1.316939891,2.034225352,0.107309613,0.011515353,0.761843112,0.798544,0.323994097,1,1,5,2,2
2.81,1.93,0.68683274,1.455958549,2.48062069,0.164634362,0.027104473,0.763611577,0.8111,0.237660176,1,1,5,1,3
1.05,0,0,0,0.087073171,0.290269009,0.084256098,0.798646762,0.8645385,0.249654655,1,3,1,4,0
1.14,0,0,0,1.021627907,0.18444931,0.034021548,0.869702122,0.753722,0.332850923,1,5,1,5,2
1.14,1.05,0.921052632,1.085714286,1.096046512,0.045163221,0.002039717,1.040199084,0.905545,0.396499078,5,1,1,4,1
1.14,0,0,0,1.123217822,0.084794408,0.007190092,1.043677695,0.880652,0.475419911,1,1,4,1,2
1.44,1.05,0.729166667,1.371428571,1.174604651,0.057800066,0.003340848,1.282365163,0.991322,0.804353215,5,1,1,3,3
2.81,2.61,0.928825623,1.076628352,2.662173913,0.061325929,0.00376087,1.331536549,0.934149,0.873166036,1,1,1,5,0
3.78,2.9,0.767195767,1.303448276,3.328484848,0.2578923,0.066508438,1.389988974,0.9564745,0.795668545,1,5,1,1,1
4.17,3.29,0.788968825,1.267477204,3.578571429,0.223794852,0.050084136,1.230000427,0.9278485,0.683420924,1,1,1,5,3
5.25,3.39,0.645714286,1.548672566,3.858527132,0.432472938,0.187032842,1.102818557,0.933991,0.622236592,1,1,5,1,2
5.25,3.49,0.664761905,1.504297994,4.282666667,0.507246372,0.257298881,1.065262022,0.8089165,0.692223006,1,1,5,1,3
1.24,1.14,0.919354839,1.087719298,1.163239437,0.04238542,0.001796524,1.184035056,0.8931535,0.809962614,1,1,1,4,0
1.24,1.14,0.919354839,1.087719298,1.212988506,0.044530043,0.001982925,4.292145231,2.498716,3.629350438,5,1,1,4,1
1.34,1.14,0.850746269,1.175438596,1.250775862,0.036220844,0.00131195,1.499406782,0.921713,1.272797957,1,1,2,5,1
2.81,0,0,0,1.536360656,0.689988225,0.476083751,1.487926722,0.9216295,1.050064982,1,1,5,1,2
0,0,0,0,0,0,0,1.0568982,0.893007,0.455836194,4,3,1,5,1
